game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_range,team_id,team_name,opponent,shot_id,shot_made_flag
57,20201062,33.8933,126,151,-118.1438,4,1,0,2002-03,20,19,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,SEA,4825,0.0
307,20600523,34.0343,179,10,-118.0908,1,3,0,2006-07,24,17,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,HOU,10352,0.0
330,20100588,33.9933,-42,51,-118.3118,0,3,0,2001-02,46,6,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DEN,2280,1.0
76,20100456,34.0443,0,0,-118.2698,3,1,0,2001-02,28,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHX,2059,1.0
452,20100622,33.9643,1,80,-118.2688,0,4,0,2001-02,56,8,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,PHI,2347,1.0
320,20100691,33.9003,-134,144,-118.4038,3,3,0,2001-02,14,19,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,CHI,2444,0.0
48,21100097,33.9103,-127,134,-118.3968,4,1,0,2011-12,43,18,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,POR,18234,1.0
540,29800145,33.7623,-36,282,-118.3058,0,4,0,1998-99,16,28,3PT Field Goal,Center(C),24+ ft.,1610612747,Los Angeles Lakers,VAN,24440,0.0
197,20600759,34.0423,-10,2,-118.2798,2,2,0,2006-07,23,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,CLE,10664,1.0
406,20300258,33.9993,89,45,-118.1808,2,3,0,2003-04,21,9,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,DAL,5303,0.0
439,20400819,33.8453,143,199,-118.1268,0,4,0,2004-05,52,24,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,TOR,7019,0.0
63,40700405,34.0413,-228,3,-118.4978,4,1,1,2007-08,55,22,3PT Field Goal,Left Side(L),24+ ft.,1610612747,Los Angeles Lakers,BOS,28467,1.0
480,21000982,33.8953,83,149,-118.1868,0,4,0,2010-11,55,17,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,DAL,17751,0.0
142,20200305,33.9913,8,53,-118.2618,8,2,0,2002-03,13,5,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,3616,0.0
308,20000942,33.8483,89,196,-118.1808,3,3,0,2000-01,47,21,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,WAS,1374,1.0
485,41000153,34.0243,136,20,-118.1338,2,4,1,2010-11,26,13,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,NOH,29598,0.0
444,40600155,33.8603,95,184,-118.1748,7,4,1,2006-07,51,20,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,PHX,28031,0.0
393,20300625,33.8323,128,212,-118.1418,1,4,0,2003-04,11,24,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,UTA,5597,0.0
491,20900664,34.0413,237,3,-118.0328,3,4,0,2009-10,55,23,3PT Field Goal,Right Side(R),24+ ft.,1610612747,Los Angeles Lakers,IND,15904,1.0
334,29600474,34.0443,0,0,-118.2698,0,3,0,1996-97,0,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,CHA,23025,0.0
333,40900311,34.0443,0,0,-118.2698,3,3,1,2009-10,35,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHX,29258,1.0
37,40000070,34.0503,161,-6,-118.1088,5,1,1,2000-01,22,16,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,SAS,26384,0.0
67,20200206,34.0083,-171,36,-118.4408,4,1,0,2002-03,30,17,2PT Field Goal,Left Side(L),16-24 ft.,1610612747,Los Angeles Lakers,ORL,3463,0.0
448,21100357,34.0003,81,44,-118.1888,1,4,0,2011-12,6,9,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,PHI,18670,1.0
285,20100413,33.9033,-86,141,-118.3558,8,3,0,2001-02,15,16,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,TOR,2008,0.0
57,21000435,34.0163,9,28,-118.2608,6,1,0,2010-11,16,2,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,MIA,17004,0.0
442,21500045,33.9393,-37,105,-118.3068,7,4,0,2015-16,57,11,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,DAL,21836,0.0
128,21100825,34.0353,-35,9,-118.3048,0,1,0,2011-12,59,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,HOU,19358,1.0
65,20200769,34.0363,-99,8,-118.3688,4,1,0,2002-03,1,9,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,HOU,4308,1.0
283,40500154,33.9733,-6,71,-118.2758,5,3,1,2005-06,3,7,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHX,27835,1.0
457,40100234,34.0503,11,-6,-118.2588,0,4,1,2001-02,5,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,SAS,26725,1.0
517,40300402,34.0443,0,0,-118.2698,0,5,1,2003-04,20,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DET,27705,0.0
223,20600418,34.0443,0,0,-118.2698,2,2,0,2006-07,18,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,ORL,10194,1.0
460,40700221,33.9453,-25,99,-118.2948,4,4,1,2007-08,50,10,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,UTA,28149,0.0
442,20900678,33.9253,-68,119,-118.3378,5,4,0,2009-10,50,13,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,PHI,15923,1.0
256,20200833,33.9633,-105,81,-118.3748,7,3,0,2002-03,6,13,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,DET,4472,1.0
291,40700313,34.0473,16,-3,-118.2538,4,3,1,2007-08,11,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,SAS,28302,0.0
36,40000005,33.8653,-109,179,-118.3788,7,1,1,2000-01,35,20,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,POR,26200,0.0
241,20500274,33.8483,-92,196,-118.3618,8,3,0,2005-06,11,21,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,CHI,8038,1.0
102,20500664,34.0133,0,31,-118.2698,1,1,0,2005-06,21,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,IND,8693,1.0
314,20400880,33.8633,80,181,-118.1898,1,3,0,2004-05,37,19,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,IND,7104,1.0
104,20400014,34.0443,0,0,-118.2698,1,1,0,2004-05,21,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,UTA,6227,1.0
338,40300155,33.9963,-3,48,-118.2728,1,3,1,2003-04,48,4,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,HOU,27400,1.0
9,20201046,33.9503,177,94,-118.0928,10,1,0,2002-03,40,20,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,WAS,4796,1.0
585,20900935,34.0653,-224,-21,-118.4938,0,4,0,2009-10,26,22,3PT Field Goal,Left Side(L),24+ ft.,1610612747,Los Angeles Lakers,ORL,16174,1.0
176,21500549,33.8853,182,159,-118.0878,7,2,0,2015-16,25,24,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,OKC,22311,0.0
275,21100469,33.8683,125,176,-118.1448,0,2,0,2011-12,16,21,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,PHX,18800,1.0
402,21400145,33.9673,-2,77,-118.2718,3,3,0,2014-15,23,7,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,21316,0.0
428,20900097,33.9343,-123,110,-118.3928,7,4,0,2009-10,55,16,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,NOH,15042,1.0
100,20800525,34.0163,-19,28,-118.2888,0,1,0,2008-09,46,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,13826,0.0
22,40700402,33.9863,77,58,-118.1928,9,1,1,2007-08,50,9,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,BOS,28400,1.0
474,20900621,33.8913,108,153,-118.1618,1,4,0,2009-10,32,18,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,CLE,15824,1.0
490,21200569,34.0493,152,-5,-118.1178,5,4,0,2012-13,25,15,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,MIL,20233,1.0
61,20500873,33.9143,-138,130,-118.4078,3,1,0,2005-06,2,18,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,DET,9055,0.0
105,40900145,34.0443,0,0,-118.2698,0,1,1,2009-10,46,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,OKC,29122,1.0
153,40700314,33.9453,138,99,-118.1318,7,2,1,2007-08,49,16,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,SAS,28319,0.0
197,20100119,33.9073,39,137,-118.2308,11,3,0,2001-02,28,14,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,HOU,1629,1.0
66,20500930,33.9213,182,123,-118.0878,4,1,0,2005-06,34,21,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,SEA,9173,0.0
358,21100769,33.8523,162,192,-118.1078,0,3,0,2011-12,1,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,NOH,19282,0.0
284,20501229,33.8453,164,199,-118.1058,6,3,0,2005-06,24,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,NOP,9701,0.0
430,40300402,33.9573,-184,87,-118.4538,4,4,1,2003-04,9,20,2PT Field Goal,Left Side(L),16-24 ft.,1610612747,Los Angeles Lakers,DET,27696,0.0
420,20600994,33.9673,194,77,-118.0758,2,4,0,2006-07,32,20,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,MIN,11027,0.0
356,40100313,33.9743,228,70,-118.0418,11,4,1,2001-02,26,23,3PT Field Goal,Right Side(R),24+ ft.,1610612747,Los Angeles Lakers,SAC,26805,0.0
319,21200347,34.0353,17,9,-118.2528,0,3,0,2012-13,4,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHI,19919,1.0
10,20000309,33.9833,-23,61,-118.2928,10,1,0,2000-01,50,6,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,MIL,502,0.0
31,20600902,34.0013,44,43,-118.2258,8,1,0,2006-07,12,6,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,MIN,10864,1.0
273,20700406,34.0093,15,35,-118.2548,11,3,0,2007-08,30,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHX,12025,1.0
51,41000156,33.9153,218,129,-118.0518,7,1,1,2010-11,13,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,NOH,29632,0.0
180,20000258,34.0443,0,0,-118.2698,5,2,0,2000-01,23,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHI,404,1.0
16,20200691,34.0413,8,3,-118.2618,10,1,0,2002-03,15,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,IND,4127,1.0
305,29900571,34.0493,-85,-5,-118.3548,0,3,0,1999-00,31,8,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,POR,25483,1.0
6,21400356,33.8613,-109,183,-118.3788,11,1,0,2014-15,4,21,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,IND,21610,0.0
83,40800311,34.0433,133,1,-118.1368,2,1,1,2008-09,10,13,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,DEN,28773,1.0
423,40200175,33.9373,-8,107,-118.2778,4,4,1,2002-03,3,10,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,MIN,27119,1.0
356,20700970,33.7993,-123,245,-118.3928,0,3,0,2007-08,28,27,3PT Field Goal,Left Side Center(LC),24+ ft.,1610612747,Los Angeles Lakers,NOH,12774,0.0
257,20701043,34.0443,0,0,-118.2698,1,2,0,2007-08,29,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,12889,0.0
81,20200774,34.0263,186,18,-118.0838,1,1,0,2002-03,28,18,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,UTA,4347,0.0
227,20700152,33.8963,209,148,-118.0608,3,2,0,2007-08,23,25,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,IND,11655,1.0
200,20200223,34.0313,-153,13,-118.4228,3,2,0,2002-03,0,15,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,MEM,3505,0.0
371,20000108,34.0443,0,0,-118.2698,10,4,0,2000-01,11,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DEN,163,1.0
92,21100502,33.8463,-93,198,-118.3628,0,1,0,2011-12,28,21,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,OKC,18865,1.0
452,40900312,33.9973,-90,47,-118.3598,6,4,1,2009-10,42,10,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,PHX,29281,1.0
492,20800807,34.0113,-144,33,-118.4138,2,4,0,2008-09,16,14,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,GSW,14285,0.0
279,20400115,34.0263,-33,18,-118.3028,6,3,0,2004-05,34,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAC,6373,0.0
255,20700144,34.0443,0,0,-118.2698,0,2,0,2007-08,0,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,CHI,11634,1.0
268,20800687,34.0103,124,34,-118.1458,1,2,0,2008-09,44,12,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,MIN,14058,0.0
7,20200425,34.0323,-209,12,-118.4788,10,1,0,2002-03,30,20,2PT Field Goal,Left Side(L),16-24 ft.,1610612747,Los Angeles Lakers,DEN,3781,1.0
89,40000084,33.9763,125,68,-118.1448,3,1,1,2000-01,52,14,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,PHI,26479,1.0
25,20700400,34.0443,0,0,-118.2698,8,1,0,2007-08,54,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,NYK,11992,0.0
91,21001139,34.0003,17,44,-118.2528,3,1,0,2010-11,0,4,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DEN,17928,0.0
256,20001136,33.8883,1,156,-118.2688,9,3,0,2000-01,23,15,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,MIN,1463,1.0
304,20200616,33.8523,-57,192,-118.3268,1,3,0,2002-03,16,20,2PT Field Goal,Center(C),16-24 ft.,1610612747,Los Angeles Lakers,NJN,4037,0.0
501,40700221,34.0443,0,0,-118.2698,1,4,1,2007-08,59,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,UTA,28151,0.0
438,20200476,33.8223,-149,222,-118.4188,6,4,0,2002-03,5,26,3PT Field Goal,Left Side Center(LC),24+ ft.,1610612747,Los Angeles Lakers,PHX,3879,0.0
417,40000085,34.0253,1,19,-118.2688,3,4,1,2000-01,7,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,PHI,26524,0.0
457,20801117,34.0443,0,0,-118.2698,3,4,0,2008-09,47,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,MIL,14756,1.0
25,20100178,34.0443,0,0,-118.2698,9,1,0,2001-02,30,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,1711,1.0
19,21000621,34.0103,15,34,-118.2548,8,1,0,2010-11,32,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,DAL,17267,0.0
317,20301046,33.8683,177,176,-118.0928,6,3,0,2003-04,29,24,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,MIN,5983,1.0
37,21500747,33.9293,53,115,-118.2168,8,1,0,2015-16,3,12,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,NOP,22450,1.0
308,40000043,34.0443,0,0,-118.2698,7,3,1,2000-01,36,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,SAC,26268,1.0
413,29800542,33.8003,14,244,-118.2558,8,4,0,1998-99,52,24,3PT Field Goal,Center(C),24+ ft.,1610612747,Los Angeles Lakers,POR,24878,0.0
452,49900007,33.9163,85,128,-118.1848,4,4,1,1999-00,7,15,2PT Field Goal,Right Side(R),8-16 ft.,1610612747,Los Angeles Lakers,SAC,30321,1.0
271,20700664,33.8843,75,160,-118.1948,9,3,0,2007-08,52,17,2PT Field Goal,Right Side Center(RC),16-24 ft.,1610612747,Los Angeles Lakers,NYK,12345,0.0
450,20401154,33.7643,72,280,-118.1978,1,4,0,2004-05,10,28,3PT Field Goal,Center(C),24+ ft.,1610612747,Los Angeles Lakers,PHX,7471,0.0
27,20000434,34.0233,201,21,-118.0688,9,1,0,2000-01,8,20,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,LAC,714,0.0
198,40600155,33.9303,-146,114,-118.4158,5,2,1,2006-07,0,18,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,PHX,28018,1.0
489,21100241,33.9843,-30,60,-118.2998,2,4,0,2011-12,59,6,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,IND,18518,0.0
299,20000019,33.8943,-109,150,-118.3788,5,3,0,2000-01,47,18,2PT Field Goal,Left Side Center(LC),16-24 ft.,1610612747,Los Angeles Lakers,UTA,24,1.0
372,21000871,34.0133,-10,31,-118.2798,1,3,0,2010-11,23,3,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,LAC,17601,1.0
111,20700868,33.8583,-8,186,-118.2778,11,2,0,2007-08,45,18,2PT Field Goal,Center(C),16-24 ft.,1610612747,Los Angeles Lakers,POR,12642,0.0
35,21100784,33.9993,-65,45,-118.3348,8,1,0,2011-12,10,7,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,19293,0.0
437,21100223,33.8413,195,203,-118.0748,6,4,0,2011-12,57,28,3PT Field Goal,Right Side Center(RC),24+ ft.,1610612747,Los Angeles Lakers,ORL,18484,1.0
104,20100387,33.9003,1,144,-118.2688,2,1,0,2001-02,10,14,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,PHI,1951,0.0
284,40300316,33.9623,-120,82,-118.3898,9,3,1,2003-04,36,14,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,MIN,27641,0.0
46,20900066,33.9613,170,83,-118.0998,6,1,0,2009-10,37,18,2PT Field Goal,Right Side(R),16-24 ft.,1610612747,Los Angeles Lakers,HOU,14966,1.0
220,21200539,34.0473,7,-3,-118.2628,4,2,0,2012-13,22,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,OKC,20189,1.0
367,20101055,33.8923,7,152,-118.2628,11,4,0,2001-02,8,15,2PT Field Goal,Center(C),8-16 ft.,1610612747,Los Angeles Lakers,SAS,2940,0.0
217,29900214,34.0443,0,0,-118.2698,4,2,0,1999-00,2,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,GSW,25022,1.0
35,21500201,34.0443,12,0,-118.2578,8,1,0,2015-16,27,1,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,POR,21937,1.0
317,20500720,33.7923,-143,252,-118.4128,10,4,0,2005-06,37,28,3PT Field Goal,Left Side Center(LC),24+ ft.,1610612747,Los Angeles Lakers,HOU,8792,1.0
204,40900233,33.9423,-116,102,-118.3858,2,2,1,2009-10,52,15,2PT Field Goal,Left Side(L),8-16 ft.,1610612747,Los Angeles Lakers,UTA,29207,1.0
38,49800016,34.0443,0,0,-118.2698,7,1,1,1998-99,22,0,2PT Field Goal,Center(C),Less Than 8 ft.,1610612747,Los Angeles Lakers,HOU,30173,1.0
